, ROLL NO. ,M(CS)401,M401,CS401,CS402,CS403,HU481,M(CS)491,CS491,CS492,CS493, SGPA3 , SGPA4 , YGPA , DGPA , RESULT 
113, 10900113117 ,O,B,C,C,B,A,O,A,E,E,7.31,7.54,7.42,0.00,P
114, 10900114124 ,C,B,C,B,A,B,E,A,A,E,6.69,7.35,7.00,0.00,P
115, 10900114126 ,E,D,C,C,A,A,E,E,A,A,6.28,7.19,6.71,0.00,P
116, 10900114127 ,O,C,A,B,C,E,E,E,E,E,7.10,7.73,7.40,0.00,P
117, 10900114128 ,A,F,D,C,D,B,B,B,A,A,5.45,5.77,5.60,0.00,XP
118, 10900114129 ,C,D,D,C,D,A,B,B,A,A,5.38,6.15,5.75,0.00,XP
119, 10900114130 ,C,F,F,F,D,B,B,A,A,E,5.83,4.81,5.35,0.00,XP
120, 10900114131 ,A,D,C,C,C,A,A,A,A,B,5.97,6.62,6.27,0.00,XP
121, 10900114132 ,F,D,D,D,D,E,E,B,A,E,5.59,5.92,5.75,0.00,XP
122, 10900114133 ,A,B,B,C,D,A,A,A,A,A,6.41,6.96,6.67,0.00,P
123, 10900114134 ,F,F,F,F,D,C,B,B,A,B,5.00,4.19,4.62,0.00,XP
124, 10900114135 ,E,F,C,B,B,B,E,A,E,E,5.52,6.73,6.09,0.00,XP
125, 10900114136 ,D,F,F,F,D,A,B,A,E,E,4.93,4.88,4.91,0.00,XP
126, 10900114137 ,E,C,C,B,B,B,A,A,A,E,6.90,7.23,7.05,0.00,P
127, 10900114138 ,A,C,B,B,B,E,E,E,E,E,7.45,7.62,7.53,0.00,P
128, 10900114139 ,E,D,C,B,C,E,O,E,O,E,6.90,7.38,7.13,0.00,P
129, 10900114140 ,B,F,D,C,B,A,A,A,A,E,6.03,6.27,6.15,0.00,XP
130, 10900114141 ,A,C,D,B,A,A,E,A,E,E,6.79,7.38,7.07,0.00,P
131, 10900114142 ,E,D,F,B,C,E,O,A,E,A,6.66,6.69,6.67,0.00,XP
132, 10900114143 ,D,F,F,F,D,B,A,B,A,A,4.66,4.62,4.64,0.00,XP
133, 10900114144 ,C,C,B,E,B,A,O,E,E,E,7.59,7.73,7.65,0.00,P
134, 10900213018 ,O,A,A,A,E,O,E,E,E,O,9.17,8.81,9.00,0.00,P
135, 10900213021 ,O,E,A,A,E,E,O,E,E,O,8.66,8.92,8.78,0.00,P
136, 10900213035 ,E,E,E,A,A,E,E,E,E,O,8.79,8.77,8.78,0.00,P
137, 10900213038 ,O,A,B,B,B,E,E,E,E,E,7.66,8.08,7.85,0.00,P
138, 10900213057 ,O,O,A,A,E,E,E,E,O,O,8.07,9.12,8.56,0.00,P
139, 10900213073 ,O,E,A,A,E,O,E,E,O,O,8.34,9.04,8.67,0.00,P
140, 10900313013 ,O,A,A,B,A,A,E,E,E,E,8.00,8.27,8.13,0.00,P
