, ROLL NO. ,HU301,PH301,CH301,CS301,CS302,CS303,PH391,CS391,CS392,CS393, SGPA 
56, 10900113057 ,C,F,B,D,C,F,B,A,E,B,5.38
57, 10900113058 ,A,B,A,A,E,B,E,A,O,O,8.21
58, 10900113059 ,A,A,E,A,A,B,A,E,E,E,8.17
59, 10900113060 ,B,B,B,D,D,F,C,E,B,A,5.97
60, 10900113061 ,C,C,F,F,D,F,C,A,A,A,4.90
61, 10900113062 ,B,C,C,D,C,D,B,E,E,A,6.48
62, 10900113063 ,A,B,B,B,B,C,B,E,A,A,7.24
63, 10900113064 ,A,A,A,C,A,B,E,O,E,A,7.93
64, 10900113065 ,B,B,D,D,C,D,A,E,A,B,6.45
65, 10900113066 ,B,C,B,D,B,F,B,E,A,A,6.24
66, 10900113067 ,A,B,A,C,C,D,E,E,E,E,7.24
67, 10900113068 ,A,A,A,B,B,B,B,A,E,E,7.69
68, 10900113069 ,E,E,E,A,A,A,E,O,O,O,8.83
69, 10900113070 ,A,C,B,D,C,D,B,E,E,B,6.62
70, 10900113071 ,B,B,E,C,B,C,E,E,O,E,7.59
71, 10900113072 ,B,B,A,C,A,B,E,E,E,E,7.69
72, 10900113073 ,A,D,B,D,D,C,B,E,A,B,6.41
73, 10900113074 ,B,F,C,D,D,F,C,A,A,E,5.24
74, 10900113075 ,B,D,C,D,C,D,A,E,A,B,6.28
75, 10900113076 ,A,D,E,C,B,B,A,E,A,E,7.34
76, 10900113077 ,B,C,B,D,C,C,C,E,A,E,6.66
77, 10900113078 ,B,F,B,F,D,F,C,E,B,A,4.97
78, 10900113079 ,A,E,E,E,O,A,O,O,E,E,9.03
79, 10900113080 ,B,E,E,B,E,A,E,O,O,O,8.66
80, 10900113081 ,B,D,C,C,B,C,B,O,A,E,6.79
81, 10900113082 ,C,F,C,F,F,F,C,A,B,B,4.21
82, 10900113083 ,A,O,O,E,E,E,O,E,O,O,9.34
83, 10900113084 ,B,A,E,C,B,C,E,E,E,E,7.66
84, 10900113085 ,A,C,A,C,B,D,A,E,B,E,7.03
85, 10900113086 ,A,C,A,B,B,B,O,E,A,E,7.62
86, 10900113087 ,B,A,A,B,B,B,A,E,E,E,7.72
87, 10900113088 ,B,B,E,C,A,C,E,A,A,E,7.52
88, 10900113089 ,B,C,B,C,A,B,O,E,A,E,7.45
89, 10900113090 ,B,B,C,D,B,C,C,A,B,A,6.62
90, 10900113091 ,A,C,B,B,B,C,E,E,A,B,7.17
91, 10900113092 ,A,A,E,A,B,A,A,E,O,A,8.17
92, 10900113093 ,B,C,A,B,A,A,E,E,E,E,7.79
93, 10900113094 ,C,B,A,C,B,C,A,E,A,B,7.03
94, 10900113095 ,C,F,D,F,D,F,B,A,B,B,4.59
95, 10900113096 ,B,C,B,F,A,C,A,E,E,E,6.83
96, 10900113097 ,B,F,B,F,C,F,A,A,E,A,5.31
97, 10900113098 ,I,I,I,I,I,I,I,I,I,I,2.00
98, 10900113099 ,B,D,E,F,A,D,E,E,A,E,6.76
99, 10900113100 ,B,A,E,C,E,A,E,E,E,A,8.14
100, 10900113101 ,A,A,E,B,A,B,B,A,E,E,7.93
101, 10900113102 ,A,E,E,B,B,A,A,E,E,E,8.21
102, 10900113103 ,A,C,A,C,B,C,B,B,A,B,6.90
103, 10900113104 ,A,C,B,D,C,C,C,A,A,A,6.62
104, 10900113105 ,A,B,A,C,C,B,A,E,A,A,7.31
105, 10900113106 ,A,C,E,C,B,C,A,E,E,E,7.41
106, 10900113107 ,D,F,F,F,F,F,C,C,B,B,3.55
107, 10900113108 ,A,E,A,B,A,A,O,E,O,O,8.52
108, 10900113109 ,A,A,B,C,E,B,A,A,O,E,7.90
109, 10900113110 ,A,E,C,C,E,B,E,E,O,O,8.14
110, 10900113111 ,A,E,B,A,O,A,O,E,O,O,8.79
111, 10900113112 ,B,A,B,B,A,C,E,E,E,E,7.69
112, 10900113113 ,C,B,D,D,C,D,A,A,E,A,6.41
113, 10900113114 ,B,B,C,B,A,A,E,A,E,O,7.72
114, 10900113115 ,B,D,F,F,A,C,B,A,A,E,5.97
115, 10900113116 ,A,C,C,D,C,B,C,E,E,E,6.86
116, 10900113117 ,B,B,C,B,A,C,A,E,E,A,7.31
117, 10900114124 ,A,D,C,C,B,C,B,A,A,A,6.69
118, 10900114125 ,B,D,F,F,B,C,B,A,E,A,5.83
119, 10900114126 ,B,D,C,D,A,D,C,A,B,B,6.28
120, 10900114127 ,C,D,C,A,A,C,E,A,E,E,7.10
121, 10900114128 ,B,F,F,D,C,C,C,A,A,A,5.45
122, 10900114129 ,D,D,F,D,C,D,B,B,B,B,5.38
123, 10900114130 ,C,D,F,D,B,D,D,A,E,E,5.83
124, 10900114131 ,B,F,F,C,B,D,B,B,A,A,5.55
125, 10900114132 ,C,F,D,F,C,D,A,A,B,A,5.28
126, 10900114133 ,D,F,C,B,B,C,B,A,B,A,6.00
127, 10900114134 ,C,F,D,F,C,D,C,B,B,B,5.00
128, 10900114135 ,B,F,C,F,C,F,D,A,B,B,4.79
129, 10900114136 ,C,F,F,F,F,F,B,A,E,O,4.21
130, 10900114137 ,B,C,A,D,B,C,B,A,A,E,6.90
131, 10900114138 ,B,C,A,B,A,B,E,A,A,A,7.45
132, 10900114139 ,C,D,B,B,B,C,A,A,E,E,6.90
133, 10900114140 ,B,F,D,D,B,C,B,A,E,A,6.03
134, 10900114141 ,B,F,A,C,B,D,A,A,A,E,6.38
135, 10900114142 ,C,D,B,C,B,D,E,A,A,E,6.66
136, 10900114143 ,D,F,F,F,D,F,C,A,A,A,4.24
137, 10900114144 ,B,D,E,A,A,B,A,A,E,E,7.59
138, 10900213018 ,E,O,E,A,E,E,E,E,O,O,9.17
139, 10900213021 ,A,E,E,A,E,A,B,E,O,O,8.66
140, 10900213035 ,E,E,E,B,E,A,A,E,E,O,8.66
141, 10900213038 ,B,A,B,C,A,A,A,A,E,A,7.66
142, 10900213057 ,A,A,B,E,A,B,A,E,E,E,8.07
143, 10900213073 ,A,A,E,E,A,A,C,E,E,O,8.34
144, 10900313013 ,A,B,B,A,A,B,E,E,E,E,7.90
