,0,1,2,3,4,5,6,7,8,9
10900113083,CS301,CS302,CS303,CS391,M(CS)401,CS402,CS403,CS502,CS601,CS602
10900113084,CS401,CS402,CS403,CS301,CS303,CS603,CS604A/ CS604B,CS302,CS502,CS504D
10900113085,CS303,CS301,CS401,CS403,CS502,CS302,CS392,CS402,CS503,CS504D
10900113086,CS201,CS301,CS302,CS303,M(CS)401,CS402,CS403,CS502,CS503,CS601
10900113087,CS402,CS503,CS301,CS302,CS303,CS403,CS502,CS504D,CS602,CS401
10900113088,CS301,CS303,CS402,CS403,CS503,CS603,CS601,CS602,CS604A/ CS604B,CS201
10900113089,CS301,CS303,CS402,CS503,CS601,CS602,CS604A/ CS604B,CS291,CS302,CS392
10900113091,CS402,CS303,CS401,CS403,CS503,CS504D,CS602,CS301,CS302,CS393
10900113092,CS302,CS402,CS503,CS504D,CS604A/ CS604B,CS201,CS301,CS303,CS393,CS401
10900113093,CS301,CS402,CS403,CS503,CS504D,CS601,CS602,CS201,CS302,CS303
10900113094,CS403,CS301,CS303,CS401,CS503,CS602,CS603,CS201,CS302,CS393
10900113096,CS301,CS403,CS603,CS604A/ CS604B,CS303,CS401,CS402,CS502,CS503,CS602
10900113097,CS301,CS303,CS401,CS402,CS403,CS501,CS503,CS302,CS502,CS603
10900113099,CS301,CS603,CS303,CS401,CS403,CS502,CS503,CS605A,CS201,CS291
10900113100,CS301,CS503,CS603,CS201,CS291,CS303,CS393,CS402,CS403,CS492
10900113101,CS301,CS303,CS402,CS403,CS603,CS291,CS302,CS391,CS401,CS503
10900113102,CS403,CS301,CS302,CS402,CS503,CS603,CS201,CS303,CS601,CS291
10900113103,CS401,CS502,CS601,CS602,CS603,CS301,CS303,CS402,CS403,CS302
10900113104,CS402,CS301,CS403,CS603,CS604A/ CS604B,CS302,CS303,CS401,CS501,CS502
10900113105,CS301,CS302,CS403,CS502,CS603,CS303,CS402,CS501,CS503,CS601
10900113106,CS301,CS303,CS401,CS502,CS302,CS402,CS403,CS501,CS602,CS603
10900113107,CS301,CS302,CS303,M(CS)401,CS401,CS402,CS403,CS501,CS502,CS503
10900113108,CS301,CS403,CS502,CS602,CS302,CS303,CS402,CS501,CS503,CS601
10900113109,CS301,CS502,CS303,CS402,CS503,CS681,CS391,CS403,CS501,CS601
10900113110,CS301,CS303,CS402,CS502,CS503,CS401,CS403,CS601,CS602,CS604A/ CS604B
10900113111,CS301,CS303,CS391,CS402,CS403,CS501,CS502,CS503,CS593,CS602
10900113112,CS303,CS301,CS503,CS602,CS603,CS302,CS402,CS403,CS502,CS601
10900113113,CS201,CS301,CS303,CS302,CS402,CS502,CS603,CS401,CS403,CS501
10900113114,CS402,CS503,CS603,CS301,CS502,CS604A/ CS604B,CS605A,CS302,CS303,CS391
10900113115,CS301,CS401,CS402,CS503,CS603,CS201,CS303,CS403,CS502,CS594D
10900113116,CS301,CS402,CS603,CS302,CS403,CS502,CS503,CS303,CS401,CS501
10900113117,CS303,CS401,CS402,CS602,CS603,CS301,CS403,CS501,CS601,CS604A/ CS604B
