,0,1,2,3,4,5,6,7,8,9
10900113105,ES291,CH201,ES201,HU301,CH301,PH391,M401,HU481,HU501,HU601
10900113106,HU481,ES291,CH301,M201,CH291,ME291,HU301,PH391,HU601,ES201
10900113107,ES291,CH291,PH391,HU481,HU301,CH201,M201,ME201,ES201,ME291
10900113108,ES291,ME291,PH391,CH201,M201,CH291,PH301,M401,HU481,HU601
10900113109,ES291,HU481,CH201,M201,CH291,ME291,HU301,PH301,PH391,M401
10900113110,ES291,ME291,M201,PH301,PH391,HU481,CH201,ME201,CH291,HU301
10900113111,CH291,ES291,ME291,PH391,HU481,CH201,M201,ME201,PH301,M401
10900113112,M201,CH291,ES291,ME291,PH391,HU481,CH201,ME201,PH301,M401
10900113113,CH291,ES291,ME291,PH391,HU481,CH201,PH301,HU601,ME201,ES201
10900113114,ES291,M201,PH391,CH201,CH291,ME291,M401,HU481,HU601,ME201
10900113115,CH291,ES291,ME291,CH201,HU301,PH391,HU601,M201,ME201,M401
10900113116,ME291,HU481,CH291,ES291,HU301,HU601,CH201,ME201,HU501,M201
10900113117,ME291,ES291,CH201,CH291,PH391,HU481,HU601,HU301,PH301,M401
